ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.89142,8.08582,5.47973,0.00879,0.01625,-0.02104,24509,2016-04-03 23:59:23:654
1.82917,8.11874,5.33488,0.02077,2.7E-4,-0.03356,24609,2016-04-03 23:59:23:754
1.91895,8.12891,5.38276,-8.0E-4,0.00107,-0.03435,24709,2016-04-03 23:59:23:854
1.98419,8.06607,5.35104,-5.3E-4,-0.0024,-0.01917,24809,2016-04-03 23:59:23:954
1.82318,8.16543,5.34925,-0.00826,-0.0032,-0.0269,24909,2016-04-03 23:59:24:054
1.82318,8.16543,5.34925,-0.00826,-0.0032,-0.0269,25009,2016-04-03 23:59:24:154
1.87825,8.06068,5.3283,-0.01891,-0.02503,-0.00559,25109,2016-04-03 23:59:24:254
1.90878,8.15046,5.3271,0.0,0.00293,-0.01811,25210,2016-04-03 23:59:24:355
1.94888,8.11215,5.31333,0.01944,5.3E-4,-0.02557,25309,2016-04-03 23:59:24:454
1.91416,8.17141,5.23732,-0.00186,-0.00586,-0.02557,25409,2016-04-03 23:59:24:554
1.8986,8.15764,5.29717,-0.0474,0.00266,-0.02876,25509,2016-04-03 23:59:24:654
1.8986,8.15764,5.29717,-0.0474,0.00266,-0.02876,25610,2016-04-03 23:59:24:755
1.90818,8.14926,5.52522,-0.00852,-0.00453,-0.02503,25710,2016-04-03 23:59:24:855
1.87586,8.14567,5.31692,-0.00692,2.7E-4,-0.03276,25809,2016-04-03 23:59:24:954
1.90219,8.08163,5.3672,-0.01731,-0.00426,-0.01465,25910,2016-04-03 23:59:25:055
1.83635,8.12173,5.24929,-5.3E-4,-2.7E-4,-0.03116,26009,2016-04-03 23:59:25:154
1.87167,8.10138,5.28041,-0.02557,0.00133,-0.0269,26109,2016-04-03 23:59:25:254
1.87167,8.10138,5.28041,-0.02557,0.00133,-0.0269,26209,2016-04-03 23:59:25:354
